model,snr_db,acc_mean,acc_std
CNN,-20,0.1179,0.0065
CNN,-18,0.0949,0.0063
CNN,-16,0.0935,0.0037
CNN,-14,0.1192,0.0054
CNN,-12,0.1417,0.007
CNN,-10,0.2039,0.0036
CNN,-8,0.2988,0.0115
CNN,-6,0.3955,0.0036
CNN,-4,0.4702,0.0045
CNN,-2,0.589,0.0059
CNN,0,0.6692,0.0073
CNN,2,0.7217,0.0101
CNN,4,0.6972,0.0068
CNN,6,0.7133,0.0095
CNN,8,0.7228,0.0111
CNN,10,0.747,0.0105
CNN,12,0.7321,0.0076
CNN,14,0.736,0.0047
CNN,16,0.6927,0.0024
CNN,18,0.7354,0.0024
MLP,-20,0.0987,0.0089
MLP,-18,0.099,0.0055
MLP,-16,0.0949,0.0115
MLP,-14,0.1146,0.0035
MLP,-12,0.1231,0.0054
MLP,-10,0.1564,0.0045
MLP,-8,0.2053,0.0062
MLP,-6,0.3046,0.0036
MLP,-4,0.3763,0.0047
MLP,-2,0.4213,0.0072
MLP,0,0.4391,0.0113
MLP,2,0.4512,0.0124
MLP,4,0.4818,0.0037
MLP,6,0.4741,0.0141
MLP,8,0.4564,0.0163
MLP,10,0.4822,0.0108
MLP,12,0.4763,0.0072
MLP,14,0.4701,0.008
MLP,16,0.4477,0.0043
MLP,18,0.4774,0.0032
KANspline,-20,0.0976,0.0075
KANspline,-18,0.1023,0.0059
KANspline,-16,0.0935,0.0054
KANspline,-14,0.0954,0.0046
KANspline,-12,0.1155,0.0068
KANspline,-10,0.1444,0.0046
KANspline,-8,0.2104,0.0084
KANspline,-6,0.2605,0.0142
KANspline,-4,0.3263,0.0093
KANspline,-2,0.3723,0.0096
KANspline,0,0.4124,0.0154
KANspline,2,0.4927,0.0151
KANspline,4,0.5429,0.013
KANspline,6,0.5865,0.0167
KANspline,8,0.5851,0.0115
KANspline,10,0.6219,0.0057
KANspline,12,0.6177,0.0096
KANspline,14,0.6096,0.002
KANspline,16,0.5944,0.0009
KANspline,18,0.6097,0.0083
KANfourier,-20,0.1039,0.0063
KANfourier,-18,0.1019,0.0043
KANfourier,-16,0.0956,0.0065
KANfourier,-14,0.0943,0.0066
KANfourier,-12,0.1038,0.0048
KANfourier,-10,0.1254,0.0055
KANfourier,-8,0.1535,0.0066
KANfourier,-6,0.2141,0.0143
KANfourier,-4,0.2458,0.0055
KANfourier,-2,0.291,0.0072
KANfourier,0,0.3234,0.0119
KANfourier,2,0.384,0.018
KANfourier,4,0.4618,0.022
KANfourier,6,0.4969,0.0189
KANfourier,8,0.4837,0.0108
KANfourier,10,0.5309,0.0083
KANfourier,12,0.53,0.0164
KANfourier,14,0.5261,0.0046
KANfourier,16,0.5088,0.0153
KANfourier,18,0.5266,0.0127
