model,modulation,acc_mean,acc_std
CNN,8PSK,0.6551,0.0383
CNN,AM-DSB,0.78,0.0083
CNN,AM-SSB,0.9992,0.0012
CNN,BPSK,0.9644,0.002
CNN,CPFSK,0.9961,0.0004
CNN,GFSK,0.9614,0.0025
CNN,PAM4,0.9619,0.0046
CNN,QAM16,0.4791,0.009
CNN,QAM64,0.655,0.0322
CNN,QPSK,0.6063,0.0223
CNN,WBFM,0.3697,0.0114
MLP,8PSK,0.3021,0.0075
MLP,AM-DSB,0.8404,0.0137
MLP,AM-SSB,0.9545,0.0049
MLP,BPSK,0.5781,0.0029
MLP,CPFSK,0.7859,0.0062
MLP,GFSK,0.9778,0.0028
MLP,PAM4,0.6342,0.0078
MLP,QAM16,0.287,0.0062
MLP,QAM64,0.3464,0.016
MLP,QPSK,0.2844,0.0136
MLP,WBFM,0.4747,0.0074
KANspline,8PSK,0.4799,0.0255
KANspline,AM-DSB,0.7832,0.0273
KANspline,AM-SSB,0.9053,0.0101
KANspline,BPSK,0.8119,0.0135
KANspline,CPFSK,0.827,0.0046
KANspline,GFSK,0.8746,0.0095
KANspline,PAM4,0.835,0.0174
KANspline,QAM16,0.3048,0.0101
KANspline,QAM64,0.3606,0.0159
KANspline,QPSK,0.4463,0.025
KANspline,WBFM,0.4101,0.0097
