edge,r2,x,f_kan,f_cubic
0,1.0,-0.6512,-0.56634,-0.56491
0,1.0,-0.6402,-0.56069,-0.55954
0,1.0,-0.6293,-0.55482,-0.55391
0,1.0,-0.6183,-0.54872,-0.54804
0,1.0,-0.6073,-0.54241,-0.54193
0,1.0,-0.5964,-0.53589,-0.53558
0,1.0,-0.5854,-0.52916,-0.52901
0,1.0,-0.5744,-0.52222,-0.52221
0,1.0,-0.5635,-0.51507,-0.51519
0,1.0,-0.5525,-0.50773,-0.50795
0,1.0,-0.5416,-0.50019,-0.5005
0,1.0,-0.5306,-0.49245,-0.49284
0,1.0,-0.5196,-0.48452,-0.48498
0,1.0,-0.5087,-0.47641,-0.47692
0,1.0,-0.4977,-0.46811,-0.46866
0,1.0,-0.4867,-0.45964,-0.46022
0,1.0,-0.4758,-0.45099,-0.45159
0,1.0,-0.4648,-0.44216,-0.44278
0,1.0,-0.4538,-0.43317,-0.43379
0,1.0,-0.4429,-0.42401,-0.42464
0,1.0,-0.4319,-0.41469,-0.41531
0,1.0,-0.4209,-0.40522,-0.40582
0,1.0,-0.41,-0.39559,-0.39617
0,1.0,-0.399,-0.38581,-0.38637
0,1.0,-0.388,-0.37589,-0.37642
0,1.0,-0.3771,-0.36582,-0.36633
0,1.0,-0.3661,-0.35562,-0.35609
0,1.0,-0.3551,-0.34529,-0.34572
0,1.0,-0.3442,-0.33483,-0.33521
0,1.0,-0.3332,-0.32424,-0.32458
0,1.0,-0.3222,-0.31353,-0.31383
0,1.0,-0.3113,-0.3027,-0.30296
0,1.0,-0.3003,-0.29176,-0.29197
0,1.0,-0.2893,-0.28071,-0.28088
0,1.0,-0.2784,-0.26956,-0.26968
0,1.0,-0.2674,-0.25831,-0.25838
0,1.0,-0.2564,-0.24696,-0.24698
0,1.0,-0.2455,-0.23552,-0.2355
0,1.0,-0.2345,-0.22399,-0.22392
0,1.0,-0.2235,-0.21238,-0.21227
0,1.0,-0.2126,-0.20069,-0.20053
0,1.0,-0.2016,-0.18892,-0.18873
0,1.0,-0.1906,-0.17709,-0.17685
0,1.0,-0.1797,-0.16519,-0.16491
0,1.0,-0.1687,-0.15322,-0.15291
0,1.0,-0.1577,-0.1412,-0.14085
0,1.0,-0.1468,-0.12912,-0.12875
0,1.0,-0.1358,-0.117,-0.11659
0,1.0,-0.1248,-0.10483,-0.1044
0,1.0,-0.1139,-0.09262,-0.09216
0,1.0,-0.1029,-0.08037,-0.0799
0,1.0,-0.0919,-0.06809,-0.0676
0,1.0,-0.081,-0.05578,-0.05528
0,1.0,-0.07,-0.04346,-0.04295
0,1.0,-0.0591,-0.03111,-0.03059
